win,lose,probability
Minnesota Timberwolves,Cleveland Cavaliers,0.581722507023525
Indiana Pacers,New Orleans Pelicans,0.7750181217522891
Golden State Warriors,Los Angeles Lakers,0.8331234479858162
Miami Heat,Philadelphia 76ers,0.9215086581711558
Charlotte Hornets,Milwaukee Bucks,0.8275880922771024
Oklahoma City Thunder,Portland Trail Blazers,0.6037422447726919
Orlando Magic,Boston Celtics,0.5146497423774339
Phoenix Suns,Dallas Mavericks,0.5065000608170772
Chicago Bulls,Washington Wizards,0.5718404419365564
Chicago Bulls,Los Angeles Lakers,0.7998894861802509
Los Angeles Clippers,Golden State Warriors,0.6095798367348102
Miami Heat,Cleveland Cavaliers,0.765338106289262
Washington Wizards,New York Knicks,0.5303901690097459
San Antonio Spurs,Oklahoma City Thunder,0.613442622385012
Atlanta Hawks,Milwaukee Bucks,0.8629947311306978
Brooklyn Nets,Boston Celtics,0.7475885329674765
Dallas Mavericks,Los Angeles Lakers,0.8247709648576369
Minnesota Timberwolves,Denver Nuggets,0.521314552959045
Indiana Pacers,Detroit Pistons,0.7884645358980961
Houston Rockets,Memphis Grizzlies,0.5094267426705605
San Antonio Spurs,New Orleans Pelicans,0.8335465907748457
Oklahoma City Thunder,Charlotte Hornets,0.7411024041598815
Cleveland Cavaliers,Orlando Magic,0.6242435803776103
Portland Trail Blazers,Philadelphia 76ers,0.9390485460073731
Phoenix Suns,Sacramento Kings,0.713100590300404
Indiana Pacers,Brooklyn Nets,0.5967342525297432
Chicago Bulls,New Orleans Pelicans,0.7179569774049535
Charlotte Hornets,Orlando Magic,0.8189334112116022
Golden State Warriors,Minnesota Timberwolves,0.7130669332247693
Los Angeles Clippers,Toronto Raptors,0.680273845320017
Miami Heat,Memphis Grizzlies,0.5295054252340781
Atlanta Hawks,Milwaukee Bucks,0.7467344154162341
New York Knicks,Sacramento Kings,0.6615991797951561
Utah Jazz,Philadelphia 76ers,0.6631092380048073
Washington Wizards,Boston Celtics,0.811923993683221
Cleveland Cavaliers,Detroit Pistons,0.6389180879893799
Oklahoma City Thunder,Dallas Mavericks,0.5883605733105264
Toronto Raptors,Denver Nuggets,0.6522362787760849
Phoenix Suns,Los Angeles Lakers,0.7606950641167182
Portland Trail Blazers,New York Knicks,0.7068972761673462
San Antonio Spurs,Houston Rockets,0.6705803867466958
Brooklyn Nets,Sacramento Kings,0.7208619022734515
Charlotte Hornets,Milwaukee Bucks,0.894901002948329
Houston Rockets,Washington Wizards,0.6900103058201368
Indiana Pacers,Chicago Bulls,0.5185242260629912
Los Angeles Clippers,Utah Jazz,0.9096165369842543
Miami Heat,Orlando Magic,0.8629180805784697
Atlanta Hawks,Cleveland Cavaliers,0.6341698503745272
Chicago Bulls,Brooklyn Nets,0.6010710662902025
Dallas Mavericks,Washington Wizards,0.619879589963903
Denver Nuggets,Los Angeles Lakers,0.6802635595816372
Golden State Warriors,Philadelphia 76ers,0.9310666814076646
San Antonio Spurs,Memphis Grizzlies,0.6398454574360224
Phoenix Suns,New Orleans Pelicans,0.6589706356929057
Detroit Pistons,Orlando Magic,0.5047730311760155
Portland Trail Blazers,Toronto Raptors,0.6220716946131277
Minnesota Timberwolves,Utah Jazz,0.734131028757115
Sacramento Kings,Boston Celtics,0.5708241617649217
Cleveland Cavaliers,Milwaukee Bucks,0.7977686218126607
Houston Rockets,Charlotte Hornets,0.699496054797651
Indiana Pacers,Miami Heat,0.527727474452082
Los Angeles Clippers,New York Knicks,0.7571361227879747
Oklahoma City Thunder,Phoenix Suns,0.6953033660968952
San Antonio Spurs,New Orleans Pelicans,0.8717763253924917
Chicago Bulls,Denver Nuggets,0.6960892633771947
Minnesota Timberwolves,Sacramento Kings,0.7413808496713541
Dallas Mavericks,Boston Celtics,0.8363097993424178
Charlotte Hornets,Cleveland Cavaliers,0.7008961371674551
Golden State Warriors,Toronto Raptors,0.5906740676497739
Memphis Grizzlies,Los Angeles Lakers,0.8032717276105741
Indiana Pacers,Milwaukee Bucks,0.887863342327898
Houston Rockets,New Orleans Pelicans,0.7453553691836454
New York Knicks,Detroit Pistons,0.7307617214037143
Oklahoma City Thunder,Washington Wizards,0.7324276214735874
Brooklyn Nets,Orlando Magic,0.7417325994609795
Phoenix Suns,Philadelphia 76ers,0.9167875420149564
Atlanta Hawks,Utah Jazz,0.6689135663078882
Chicago Bulls,Boston Celtics,0.8210590174186012
Memphis Grizzlies,Denver Nuggets,0.6764073127323587
