win,lose,probability
Los Angeles Clippers,Minnesota Timberwolves,0.9362051112954148
New Orleans Pelicans,Boston Celtics,0.5933892719648265
Dallas Mavericks,New York Knicks,0.8490581709817874
San Antonio Spurs,Philadelphia 76ers,0.9037994665455684
Toronto Raptors,Los Angeles Lakers,0.8067979214489015
Houston Rockets,Brooklyn Nets,0.6847261792633415
Cleveland Cavaliers,Portland Trail Blazers,0.6741344863261627
Denver Nuggets,Orlando Magic,0.6787531588479546
Golden State Warriors,Indiana Pacers,0.7950140246010287
Memphis Grizzlies,Oklahoma City Thunder,0.6802782112286734
Utah Jazz,Sacramento Kings,0.7626093434819425
Chicago Bulls,Boston Celtics,0.5873643532024204
Miami Heat,Charlotte Hornets,0.536356604866101
Atlanta Hawks,Dallas Mavericks,0.5068891725955512
Memphis Grizzlies,Detroit Pistons,0.5972739162582992
Los Angeles Clippers,Milwaukee Bucks,0.7543799875307127
Los Angeles Lakers,Minnesota Timberwolves,0.5284758572620764
Phoenix Suns,Orlando Magic,0.7073788897047538
San Antonio Spurs,Toronto Raptors,0.6285834174438196
Utah Jazz,New York Knicks,0.8100493931036464
Houston Rockets,Washington Wizards,0.6176004700002378
Brooklyn Nets,Philadelphia 76ers,0.8505126400391381
Los Angeles Clippers,Chicago Bulls,0.6230474070280314
Atlanta Hawks,Oklahoma City Thunder,0.5023486899549652
Sacramento Kings,New York Knicks,0.6487352256033225
Golden State Warriors,Boston Celtics,0.8077610744011342
Denver Nuggets,Minnesota Timberwolves,0.7721746381739331
Indiana Pacers,Miami Heat,0.6812897126010206
Memphis Grizzlies,Charlotte Hornets,0.8570750866255223
New Orleans Pelicans,Washington Wizards,0.5962052522076016
Cleveland Cavaliers,Orlando Magic,0.926790705750169
Detroit Pistons,Philadelphia 76ers,0.7042500978824592
Portland Trail Blazers,Phoenix Suns,0.5907615808998945
San Antonio Spurs,Los Angeles Lakers,0.9461710227626571
Toronto Raptors,Milwaukee Bucks,0.6709301588593243
Oklahoma City Thunder,Utah Jazz,0.5517702191429759
Atlanta Hawks,San Antonio Spurs,0.5585642368297625
Los Angeles Clippers,Brooklyn Nets,0.7248291416788808
Chicago Bulls,New Orleans Pelicans,0.6158096191312457
Boston Celtics,Charlotte Hornets,0.6047242383397592
Dallas Mavericks,Washington Wizards,0.6707359151701324
Detroit Pistons,Indiana Pacers,0.6016048331690961
Houston Rockets,Los Angeles Lakers,0.9203061120740854
Golden State Warriors,Milwaukee Bucks,0.8369301155268196
Portland Trail Blazers,New York Knicks,0.8869437555429233
Memphis Grizzlies,Miami Heat,0.7090050333308067
Oklahoma City Thunder,Utah Jazz,0.5678716377025244
Phoenix Suns,Minnesota Timberwolves,0.7949901079905457
Toronto Raptors,Philadelphia 76ers,0.8269799601162791
Atlanta Hawks,Miami Heat,0.772126112747399
Brooklyn Nets,Orlando Magic,0.7974323753960231
Chicago Bulls,Philadelphia 76ers,0.900667916916689
Dallas Mavericks,Phoenix Suns,0.7330263001761158
Houston Rockets,Denver Nuggets,0.8018429742905042
Los Angeles Clippers,Detroit Pistons,0.7575099396149123
Indiana Pacers,Toronto Raptors,0.5568297133344743
Memphis Grizzlies,Washington Wizards,0.7482292711734385
Portland Trail Blazers,New Orleans Pelicans,0.592987963166423
San Antonio Spurs,Utah Jazz,0.7634740432146679
Cleveland Cavaliers,Boston Celtics,0.7460241966784061
Milwaukee Bucks,Los Angeles Lakers,0.6446811414486588
Denver Nuggets,Minnesota Timberwolves,0.6681648806883911
Houston Rockets,Sacramento Kings,0.8642933860675011
Atlanta Hawks,Philadelphia 76ers,0.9109957897218525
Brooklyn Nets,Miami Heat,0.653198473576169
Chicago Bulls,Memphis Grizzlies,0.5603182033614664
Detroit Pistons,Boston Celtics,0.545645267965757
Golden State Warriors,Phoenix Suns,0.9202674113632029
Indiana Pacers,Dallas Mavericks,0.5493953986443761
Los Angeles Clippers,Milwaukee Bucks,0.8275143471619179
New York Knicks,Minnesota Timberwolves,0.511003802828747
